fold,epoch,iteration,elapsed_time,train/loss,train/acc,train/acc_cls,train/mean_iu,train/fwavacc,train_total/loss,train_total/acc,train_total/acc_cls,train_total/mean_iu,train_total/fwavacc,train_total/iu_cls,train_total/confusion_matrix,valid/loss,valid/acc,valid/acc_cls,valid/mean_iu,valid/iu_cls,valid/confusion_matrix,valid/fwavacc
0,10,2960,,,,,,,,,,,,[ 0.97009591  0.70023786  0.58167708         nan],,,,,,[ 0.94107491  0.39361304  0.38324573         nan],,
0,20,5920,,,,,,,,,,,,[ 0.97069068  0.70118742  0.58463338         nan],,,,,,[ 0.9420801   0.39166414  0.39057525         nan],,
0,30,8880,,,,,,,,,,,,[ 0.97061159  0.70190713  0.58951685         nan],,,,,,[ 0.94178306  0.39224975  0.39249248         nan],,
0,40,11840,,,,,,,,,,,,[ 0.96968063  0.69998429  0.59267464         nan],,,,,,[ 0.94021514  0.39523388  0.38747644         nan],,
0,50,14800,,,,,,,,,,,,[ 0.97053708  0.70208178  0.59242806         nan],,,,,,[ 0.94173308  0.39313619  0.39453167         nan],,
0,60,17760,,,,,,,,,,,,[ 0.97025477  0.7019207   0.59550724         nan],,,,,,[ 0.94116429  0.39524026  0.39273296         nan],,
0,70,20720,,,,,,,,,,,,[ 0.97057701  0.7024471   0.59389162         nan],,,,,,[ 0.9418241   0.39345234  0.39740529         nan],,
0,80,23680,,,,,,,,,,,,[ 0.97088176  0.70255144  0.595298           nan],,,,,,[ 0.9423625   0.39199084  0.39988596         nan],,
0,90,26640,,,,,,,,,,,,[ 0.97039516  0.70241338  0.59789216         nan],,,,,,[ 0.9413502   0.39449884  0.39654271         nan],,
0,100,29600,,,,,,,,,,,,[ 0.97041209  0.70262438  0.59864762         nan],,,,,,[ 0.94139771  0.39495566  0.39644552         nan],,
