fold,epoch,iteration,elapsed_time,train/loss,train/acc,train/acc_cls,train/mean_iu,train/fwavacc,train_total/loss,train_total/acc,train_total/acc_cls,train_total/mean_iu,train_total/fwavacc,train_total/iu_cls,train_total/confusion_matrix,valid/loss,valid/acc,valid/acc_cls,valid/mean_iu,valid/iu_cls,valid/confusion_matrix,valid/fwavacc
0,10,2960,,,,,,,,,,,,[ 0.97470052  0.65047033  0.48648135],,,,,,[ 0.95105234  0.35720433  0.3022959 ],,
0,20,5920,,,,,,,,,,,,[ 0.9757508   0.65652745  0.48968534],,,,,,[ 0.95238914  0.35590231  0.31819141],,
0,30,8880,,,,,,,,,,,,[ 0.9764721   0.66215225  0.50009629],,,,,,[ 0.95372024  0.35605775  0.32154414],,
0,40,11840,,,,,,,,,,,,[ 0.97540394  0.65660541  0.49892842],,,,,,[ 0.95165529  0.35563707  0.31977406],,
0,50,14800,,,,,,,,,,,,[ 0.97517781  0.65546274  0.49906703],,,,,,[ 0.95140617  0.35515345  0.31769193],,
0,60,17760,,,,,,,,,,,,[ 0.97528249  0.65489986  0.4913236 ],,,,,,[ 0.95128825  0.35352941  0.30782386],,
0,70,20720,,,,,,,,,,,,[ 0.97623649  0.66207852  0.50296883],,,,,,[ 0.95280478  0.35336029  0.31937695],,
0,80,23680,,,,,,,,,,,,[ 0.97598733  0.66108232  0.50053597],,,,,,[ 0.9522206   0.35262762  0.31146707],,
0,90,26640,,,,,,,,,,,,[ 0.97638168  0.66289223  0.50239965],,,,,,[ 0.95288785  0.35202585  0.31870883],,
0,100,29600,,,,,,,,,,,,[ 0.97722379  0.66648791  0.50542813],,,,,,[ 0.95438705  0.35273609  0.32703884],,
