fold,epoch,iteration,elapsed_time,train/loss,train/acc,train/acc_cls,train/mean_iu,train/fwavacc,train_total/loss,train_total/acc,train_total/acc_cls,train_total/mean_iu,train_total/fwavacc,train_total/iu_cls,train_total/confusion_matrix,valid/loss,valid/acc,valid/acc_cls,valid/mean_iu,valid/iu_cls,valid/confusion_matrix,valid/fwavacc
0,10,2960,,,,,,,,,,,,[ 0.9763346   0.66422868  0.52823097],,,,,,[ 0.95253717  0.3551417   0.33581692],,
0,20,5920,,,,,,,,,,,,[ 0.97711273  0.66849172  0.53682759],,,,,,[ 0.95391162  0.35585226  0.34410842],,
0,30,8880,,,,,,,,,,,,[ 0.97648665  0.66539139  0.53415136],,,,,,[ 0.95273626  0.35585427  0.3399247 ],,
0,40,11840,,,,,,,,,,,,[ 0.97653742  0.66609642  0.53397527],,,,,,[ 0.95284534  0.35544416  0.33897436],,
0,50,14800,,,,,,,,,,,,[ 0.97653055  0.66590207  0.52870928],,,,,,[ 0.95288169  0.3549253   0.33583016],,
0,60,17760,,,,,,,,,,,,[ 0.97723367  0.66942836  0.53815283],,,,,,[ 0.95426583  0.35678825  0.34606446],,
0,70,20720,,,,,,,,,,,,[ 0.97638598  0.66529445  0.53467273],,,,,,[ 0.9526556   0.35548799  0.34010671],,
0,80,23680,,,,,,,,,,,,[ 0.97644486  0.66575909  0.53506345],,,,,,[ 0.95274678  0.35584898  0.34057683],,
0,90,26640,,,,,,,,,,,,[ 0.97600236  0.66303331  0.53039536],,,,,,[ 0.9519531   0.35448218  0.33647196],,
0,100,29600,,,,,,,,,,,,[ 0.97663286  0.66664501  0.53614778],,,,,,[ 0.95317493  0.3563384   0.34165344],,
