fold,epoch,iteration,elapsed_time,train/loss,train/acc,train/acc_cls,train/mean_iu,train/fwavacc,train_total/loss,train_total/acc,train_total/acc_cls,train_total/mean_iu,train_total/fwavacc,train_total/iu_cls,train_total/confusion_matrix,valid/loss,valid/acc,valid/acc_cls,valid/mean_iu,valid/iu_cls,valid/confusion_matrix,valid/fwavacc
0,0,0,,,,,,,,,,,,[ 0.91520475  0.          0.                 nan],,,,,,[ 0.92989521  0.          0.                 nan],,
0,1,296,,,,,,,,,,,,[ 0.8952502  0.2858126  0.               nan],,,,,,[ 0.90023821  0.2796864   0.                 nan],,
0,2,592,,,,,,,,,,,,[ 0.92745795  0.28656216  0.                 nan],,,,,,[ 0.93201574  0.28291849  0.                 nan],,
0,3,888,,,,,,,,,,,,[ 0.92028051  0.36819649  0.                 nan],,,,,,[ 0.92184001  0.32233068  0.                 nan],,
0,4,1184,,,,,,,,,,,,[ 0.93231662  0.35242737  0.                 nan],,,,,,[ 0.93264474  0.30992874  0.                 nan],,
0,5,1480,,,,,,,,,,,,[ 0.90296026  0.36448058  0.                 nan],,,,,,[ 0.88150854  0.29349419  0.                 nan],,
0,6,1776,,,,,,,,,,,,[ 0.93610024  0.39828602  0.                 nan],,,,,,[ 0.93710214  0.34818108  0.                 nan],,
0,7,2072,,,,,,,,,,,,[ 0.93153317  0.4203301   0.                 nan],,,,,,[ 0.92903488  0.35149402  0.                 nan],,
0,8,2368,,,,,,,,,,,,[ 0.93570045  0.40697824  0.                 nan],,,,,,[ 0.93469809  0.35238768  0.                 nan],,
0,9,2664,,,,,,,,,,,,[ 0.93639513  0.401823    0.                 nan],,,,,,[ 0.93247092  0.30991319  0.                 nan],,
0,10,2960,,,,,,,,,,,,[ 0.91627366  0.43416049  0.                 nan],,,,,,[ 0.90687551  0.3527881   0.                 nan],,
0,11,3256,,,,,,,,,,,,[ 0.92779379  0.45529377  0.00251276         nan],,,,,,[ 0.91731537  0.35375974  0.                 nan],,
0,12,3552,,,,,,,,,,,,[ 0.94226255  0.46905235  0.01611094         nan],,,,,,[ 0.93137017  0.36050869  0.01073591         nan],,
0,13,3848,,,,,,,,,,,,[ 0.93888248  0.42635353  0.11203003         nan],,,,,,[ 0.92479273  0.27407723  0.08296142         nan],,
0,14,4144,,,,,,,,,,,,[ 0.93669783  0.46118492  0.07409458         nan],,,,,,[ 0.92556768  0.35457237  0.03462385         nan],,
0,15,4440,,,,,,,,,,,,[ 0.94886221  0.47896853  0.0413594          nan],,,,,,[ 0.93804781  0.3394369   0.03952748         nan],,
0,16,4736,,,,,,,,,,,,[ 0.91879721  0.44285696  0.24302563         nan],,,,,,[ 0.89658355  0.32521445  0.1962558          nan],,
0,17,5032,,,,,,,,,,,,[ 0.93119103  0.19227465  0.1267719          nan],,,,,,[ 0.93670132  0.14066511  0.10314818         nan],,
0,18,5328,,,,,,,,,,,,[ 0.92712765  0.46083222  0.01052447         nan],,,,,,[ 0.90538541  0.326327    0.00734044         nan],,
0,19,5624,,,,,,,,,,,,[ 0.94837158  0.45884487  0.22055102         nan],,,,,,[ 0.93684506  0.30615901  0.16690398         nan],,
0,20,5920,,,,,,,,,,,,[ 0.93116101  0.49747727  0.15167767         nan],,,,,,[ 0.90745034  0.35190247  0.10147711         nan],,
0,21,6216,,,,,,,,,,,,[ 0.9475649   0.52029773  0.21768391         nan],,,,,,[ 0.93263521  0.35072938  0.19336404         nan],,
0,22,6512,,,,,,,,,,,,[ 0.94738518  0.52868345  0.17115708         nan],,,,,,[ 0.92790971  0.33281761  0.13312792         nan],,
0,23,6808,,,,,,,,,,,,[ 0.95286599  0.51289807  0.21322591         nan],,,,,,[ 0.94286299  0.36462615  0.17420096         nan],,
0,24,7104,,,,,,,,,,,,[ 0.94921268  0.54329925  0.28146045         nan],,,,,,[ 0.93039234  0.36468788  0.20641691         nan],,
0,25,7400,,,,,,,,,,,,[ 0.94010351  0.48305281  0.25021269         nan],,,,,,[ 0.92510937  0.3188527   0.17854516         nan],,
0,26,7696,,,,,,,,,,,,[ 0.93368832  0.51139396  0.20445733         nan],,,,,,[ 0.90581303  0.33522267  0.1666969          nan],,
0,27,7992,,,,,,,,,,,,[ 0.95516125  0.57095455  0.24643507         nan],,,,,,[ 0.93538142  0.38433164  0.18002697         nan],,
0,28,8288,,,,,,,,,,,,[ 0.95031562  0.54374159  0.2854335          nan],,,,,,[ 0.92700094  0.35811366  0.19488383         nan],,
0,29,8584,,,,,,,,,,,,[ 0.95344305  0.5529046   0.29966933         nan],,,,,,[ 0.93410109  0.36213129  0.23311203         nan],,
0,30,8880,,,,,,,,,,,,[ 0.95323279  0.57855068  0.19916688         nan],,,,,,[ 0.92740149  0.35947968  0.13979476         nan],,
0,31,9176,,,,,,,,,,,,[ 0.95585402  0.57954861  0.32789361         nan],,,,,,[ 0.93426089  0.37593722  0.23799461         nan],,
0,32,9472,,,,,,,,,,,,[ 0.95292188  0.57413546  0.28377705         nan],,,,,,[ 0.93072714  0.36547926  0.20180086         nan],,
0,33,9768,,,,,,,,,,,,[ 0.95919846  0.58185313  0.28051631         nan],,,,,,[ 0.93614825  0.36186769  0.19754576         nan],,
